,date,season,decades_bin,neutral,playoff,team,team_code,elo,elo_prob,score,result
301,1921-12-04,1921,1,0,0,BFF,8,1651.616,0.46578389976005075,7,0.0
302,1921-12-04,1921,1,0,0,ARI,11,1493.895,0.4292334241471904,0,0.0
303,1921-12-04,1921,1,0,0,AKR,2,1608.401,0.5707665758528095,7,1.0
305,1921-12-11,1921,1,0,0,CTI,12,1478.329,0.6707525945760704,0,0.0
306,1921-12-11,1921,1,0,0,CHI,6,1623.205,0.610157351844411,10,1.0
307,1921-12-11,1921,1,0,0,CBD,7,1610.384,0.389842648155589,0,0.0
308,1921-12-18,1921,1,0,0,CHI,6,1641.2620000000002,0.7896778714848912,0,0.5
309,1921-12-18,1921,1,0,0,ARI,11,1476.4360000000001,0.21032212851510879,0,0.5
311,1921-12-18,1921,1,0,0,CBD,7,1592.326,0.7681094263750852,28,1.0
312,1922-10-01,1922,1,0,0,AKR,2,1585.5729999999999,0.8046305992859485,36,1.0
313,1922-10-01,1922,1,0,0,COL,5,1404.6770000000001,0.1953694007140515,0,0.0
314,1922-10-01,1922,1,0,0,RAC,19,1493.0020000000002,0.4541494269781893,0,0.0
315,1922-10-01,1922,1,0,0,CHI,6,1589.9520000000002,0.5458505730218107,6,1.0
316,1922-10-01,1922,1,0,0,TOL,20,1504.9379999999999,0.7006756611079398,15,1.0
317,1922-10-01,1922,1,0,0,ECG,14,1422.1879999999999,0.2993243388920602,0,0.0
318,1922-10-01,1922,1,0,0,RII,1,1538.64,0.6995794950978008,19,1.0
319,1922-10-01,1922,1,0,0,GB,18,1456.797,0.3004205049021992,14,0.0
320,1922-10-01,1922,1,0,0,CBD,7,1570.8670000000002,0.7933672072168062,38,1.0
321,1922-10-01,1922,1,0,0,LOU,15,1402.1570000000002,0.2066327927831938,0,0.0
322,1922-10-01,1922,1,0,0,ARI,11,1491.8470000000002,0.8143504709461228,3,1.0
323,1922-10-01,1922,1,0,0,MIL,21,1300.0,0.18564952905387722,0,0.0
324,1922-10-01,1922,1,0,0,DAY,4,1509.485,0.8292133938374656,36,1.0
325,1922-10-01,1922,1,0,0,OOR,22,1300.0,0.17078660616253438,0,0.0
326,1922-10-01,1922,1,0,0,BFF,8,1594.227,0.7884399650790559,7,1.0
327,1922-10-01,1922,1,0,0,HAM,13,1430.693,0.2115600349209441,0,0.0
328,1922-10-08,1922,1,0,0,TOL,20,1520.4920000000002,0.8415699007469509,12,0.5
329,1922-10-08,1922,1,0,0,MIL,21,1295.391,0.15843009925304907,12,0.5
330,1922-10-08,1922,1,0,0,OOR,22,1289.0339999999999,0.44559888476972825,20,1.0
331,1922-10-08,1922,1,0,0,COL,5,1391.986,0.5544011152302717,6,0.0
332,1922-10-08,1922,1,0,0,RII,1,1548.7320000000002,0.509150314903685,6,0.0
333,1922-10-08,1922,1,0,0,CHI,6,1607.3729999999998,0.490849685096315,10,1.0
334,1922-10-08,1922,1,0,0,GB,18,1446.705,0.5518015125380423,6,0.0
335,1922-10-08,1922,1,0,0,RAC,19,1475.58,0.4481984874619577,10,1.0
336,1922-10-08,1922,1,0,0,DAY,4,1520.451,0.5012923230056885,0,0.5
337,1922-10-08,1922,1,0,0,CBD,7,1584.5529999999999,0.4987076769943115,0,0.5
338,1922-10-12,1922,1,0,0,AKR,2,1598.264,0.7318006183986098,13,0.5
339,1922-10-12,1922,1,0,0,RCH,3,1488.89,0.26819938160139023,13,0.5
340,1922-10-15,1922,1,0,0,ARI,11,1496.457,0.682333362268822,16,1.0
341,1922-10-15,1922,1,0,0,GB,18,1428.6470000000002,0.317666637731178,3,0.0
342,1922-10-15,1922,1,0,0,DAY,4,1520.411,0.6406204830631833,17,1.0
343,1922-10-15,1922,1,0,0,MNN,16,1484.9920000000002,0.3593795169368167,0,0.0
344,1922-10-15,1922,1,0,0,CBD,7,1584.5929999999998,0.8698532075145711,14,1.0
345,1922-10-15,1922,1,0,0,OOR,22,1319.588,0.13014679248542893,0,0.0
346,1922-10-15,1922,1,0,0,MIL,21,1305.808,0.3302474005493661,20,1.0
347,1922-10-15,1922,1,0,0,RAC,19,1493.638,0.6697525994506339,0,0.0
348,1922-10-15,1922,1,0,0,CHI,6,1623.81,0.7521540621303711,7,1.0
349,1922-10-15,1922,1,0,0,RCH,3,1495.96,0.24784593786962894,0,0.0
350,1922-10-15,1922,1,0,0,BFF,8,1602.1970000000001,0.8532252932591823,19,1.0
351,1922-10-15,1922,1,0,0,COL,5,1361.432,0.14677470674081772,0,0.0
352,1922-10-15,1922,1,0,0,RII,1,1532.295,0.7497975677153701,60,1.0
353,1922-10-15,1922,1,0,0,ECG,14,1406.634,0.2502024322846299,0,0.0
354,1922-10-15,1922,1,0,0,TOL,20,1510.0739999999998,0.7062007539879077,14,1.0
355,1922-10-15,1922,1,0,0,HAM,13,1422.723,0.2937992460120923,0,0.0
356,1922-10-22,1922,1,0,0,MIL,21,1349.001,0.5016780025868239,0,0.5
357,1922-10-22,1922,1,0,0,GB,18,1412.835,0.49832199741317607,0,0.5
358,1922-10-22,1922,1,0,0,DAY,4,1540.279,0.7570446382383244,20,1.0
359,1922-10-22,1922,1,0,0,HAM,13,1407.8410000000001,0.24295536176167565,0,0.0
360,1922-10-22,1922,1,0,0,ARI,11,1512.269,0.6560088869466268,3,1.0
361,1922-10-22,1922,1,0,0,MNN,16,1465.124,0.34399111305337315,0,0.0
362,1922-10-22,1922,1,0,0,RAC,19,1450.445,0.4863159887549924,0,0.0
363,1922-10-22,1922,1,0,0,TOL,20,1524.9560000000001,0.5136840112450076,7,1.0
364,1922-10-22,1922,1,0,0,RII,1,1551.226,0.6784942866628162,26,1.0
365,1922-10-22,1922,1,0,0,RCH,3,1486.483,0.3215057133371838,0,0.0
366,1922-10-22,1922,1,0,0,CHI,6,1633.287,0.6244999992602788,7,1.0
367,1922-10-22,1922,1,0,0,BFF,8,1609.918,0.37550000073972123,0,0.0
